group,config,count_instances,mean_rel_to_baseline,mean_time_s
n=52,gls_naive_best__2-opt,1,1.005183,0.648700
n=52,gls_naive_best__or-opt-1,1,1.057885,1.766100
n=52,gls_naive_best__swap,1,1.237989,0.494100
n=52,gls_naive_first__2-opt,1,1.000121,0.600700
n=52,gls_naive_first__or-opt-1,1,1.041227,1.325700
n=52,gls_naive_first__swap,1,1.177011,0.562100
n=52,gls_opt__2-opt,1,1.000000,0.048600
n=52,gls_opt__or-opt,1,3.480352,1.002700
n=52,gls_opt__swap,1,2.338071,0.947500
n=52,sa_naive_exp__high__swap,1,1.179404,0.214100
n=52,sa_naive_exp__low__swap,1,1.488561,0.021100
n=52,sa_naive_exp__medium__swap,1,1.340147,0.043000
n=52,sa_naive_log__high__swap,1,1.187749,0.932200
n=52,sa_naive_log__low__swap,1,1.402035,0.971500
n=52,sa_naive_log__medium__swap,1,1.087148,0.903500
n=52,sa_naive_op_cmp__2-opt__exp_medium,1,1.051753,0.043800
n=52,sa_naive_op_cmp__or-opt-1__exp_medium,1,1.229933,0.046900
n=52,sa_naive_op_cmp__or-opt-2__exp_medium,1,1.223933,0.054400
n=52,sa_naive_op_cmp__or-opt-3__exp_medium,1,1.258073,0.060000
n=52,sa_naive_op_cmp__swap__exp_medium,1,1.337316,0.046200
n=52,sa_naive_poly__high__swap,1,3.029680,0.000500
n=52,sa_naive_poly__low__swap,1,1.684237,0.012400
n=52,sa_naive_poly__medium__swap,1,2.590707,0.001900
n=52,sa_opt__2-opt__exp_medium,1,1.063050,0.019700
n=52,sa_opt__or-opt__exp_medium,1,3.400084,0.010100
n=52,sa_opt__swap__exp_medium,1,1.322983,0.019500
