instance,n,config,best_cost,mean_cost,std_cost,mean_time_s,std_time_s,mean_init_cost,improvement_pct,rel_mean_to_baseline,rel_improvement_pct
berlin52,52,gls_naive_best__2-opt,8054.0,8571.9,266.34,0.6487,0.0938,,,1.005183,-0.518
berlin52,52,gls_naive_best__or-opt-1,8301.0,9021.33,429.12,1.7661,0.3113,,,1.057885,-5.789
berlin52,52,gls_naive_best__swap,9487.0,10557.2,629.85,0.4941,0.3469,,,1.237989,-23.799
berlin52,52,gls_naive_first__2-opt,7733.0,8528.73,347.22,0.6007,0.1806,,,1.000121,-0.012
berlin52,52,gls_naive_first__or-opt-1,8281.0,8879.27,318.22,1.3257,0.3512,,,1.041227,-4.123
berlin52,52,gls_naive_first__swap,9044.0,10037.2,463.89,0.5621,0.1954,,,1.177011,-17.701
berlin52,52,gls_opt__2-opt,7935.0,8527.7,318.7,0.0486,0.0203,,,1.000000,0.000
berlin52,52,gls_opt__or-opt,26668.0,29679.4,1069.3,1.0027,3.0576,,,3.480352,-248.035
berlin52,52,gls_opt__swap,11625.0,19938.37,4431.6,0.9475,0.0889,,,2.338071,-133.807
berlin52,52,sa_naive_exp__high__swap,9218.0,10057.6,490.04,0.2141,0.0292,,,1.179404,-17.940
berlin52,52,sa_naive_exp__low__swap,11868.0,12694.0,654.97,0.0211,0.0033,,,1.488561,-48.856
berlin52,52,sa_naive_exp__medium__swap,9790.0,11428.37,814.57,0.043,0.0083,,,1.340147,-34.015
berlin52,52,sa_naive_log__high__swap,9215.0,10128.77,636.01,0.9322,0.7936,,,1.187749,-18.775
berlin52,52,sa_naive_log__low__swap,11214.0,11956.13,395.04,0.9715,0.0906,,,1.402035,-40.203
berlin52,52,sa_naive_log__medium__swap,8393.0,9270.87,395.04,0.9035,0.1258,,,1.087148,-8.715
berlin52,52,sa_naive_op_cmp__2-opt__exp_medium,8207.0,8969.03,335.64,0.0438,0.0022,,,1.051753,-5.175
berlin52,52,sa_naive_op_cmp__or-opt-1__exp_medium,9597.0,10488.5,576.17,0.0469,0.008,,,1.229933,-22.993
berlin52,52,sa_naive_op_cmp__or-opt-2__exp_medium,9118.0,10437.33,540.95,0.0544,0.0114,,,1.223933,-22.393
berlin52,52,sa_naive_op_cmp__or-opt-3__exp_medium,9715.0,10728.47,523.61,0.06,0.0192,,,1.258073,-25.807
berlin52,52,sa_naive_op_cmp__swap__exp_medium,10170.0,11404.23,642.81,0.0462,0.0126,,,1.337316,-33.732
berlin52,52,sa_naive_poly__high__swap,22502.0,25836.2,1372.05,0.0005,0.0002,,,3.029680,-202.968
berlin52,52,sa_naive_poly__low__swap,12782.0,14362.67,807.52,0.0124,0.0047,,,1.684237,-68.424
berlin52,52,sa_naive_poly__medium__swap,19444.0,22092.77,1280.63,0.0019,0.0006,,,2.590707,-159.071
berlin52,52,sa_opt__2-opt__exp_medium,8113.0,9065.37,434.45,0.0197,0.0109,,,1.063050,-6.305
berlin52,52,sa_opt__or-opt__exp_medium,25984.0,28994.9,1600.85,0.0101,0.0051,,,3.400084,-240.008
berlin52,52,sa_opt__swap__exp_medium,9904.0,11282.0,850.74,0.0195,0.0089,,,1.322983,-32.298
